timeList,torsoBackBottomX,torsoBackBottomY,torsoBackBottomZ,torsoBackLeftX,torsoBackLeftY,torsoBackLeftZ,torsoBackRightX,torsoBackRightY,torsoBackRightZ,torsoFrontLeftX,torsoFrontLeftY,torsoFrontLeftZ,torsoFrontRightX,torsoFrontRightY,torsoFrontRightZ,lFootHeelX,lFootHeelY,lFootHeelZ,lFootMidX,lFootMidY,lFootMidZ,lFootToeX,lFootToeY,lFootToeZ,lFootAnkleX,lFootAnkleY,lFootAnkleZ,rFootHeelX,rFootHeelY,rFootHeelZ,rFootMidX,rFootMidY,rFootMidZ,rFootToeX,rFootToeY,rFootToeZ,rFootAnkleX,rFootAnkleY,rFootAnkleZ
34.2,0.0387268,0.320148,1.01003,-0.0217436,0.326603,1.10157,0.0699753,0.323873,1.10953,-0.0988028,0.517576,1.04959,0.134075,0.53258,1.06048,-0.0381698,0.260803,0.272148,-0.140221,0.285075,0.182824,-0.156517,0.373961,0.0841388,-0.099062,0.292945,0.252052,0.0254685,0.361423,0.0713054,0.139126,0.450546,0.0568552,0.146364,0.584129,0.0590294,0.0971084,0.409199,0.0925952
34.21,0.0396438,0.319286,1.01083,-0.0204662,0.325499,1.10257,0.0711487,0.323167,1.11047,-0.0979974,0.516309,1.05093,0.135005,0.531729,1.06109,-0.0379545,0.274951,0.263286,-0.140221,0.304053,0.176007,-0.156313,0.397884,0.0818855,-0.0987261,0.308484,0.245073,0.025502,0.349394,0.0714708,0.139231,0.438396,0.0568785,0.146505,0.572122,0.0588929,0.0970284,0.397191,0.092947
34.22,0.040532,0.318313,1.01126,-0.0192963,0.324437,1.10324,0.0723045,0.322369,1.11117,-0.0971817,0.514909,1.0519,0.13582,0.530863,1.06133,-0.0372225,0.289542,0.25354,-0.140236,0.323446,0.168534,-0.156756,0.421977,0.079359,-0.0982463,0.324343,0.23719,0.0254722,0.337353,0.0717881,0.139309,0.426306,0.0569142,0.146586,0.56005,0.0586502,0.0969765,0.385194,0.0932333
34.23,0.0413529,0.317178,1.01152,-0.0181964,0.323228,1.10365,0.0733881,0.321527,1.11146,-0.0963215,0.513591,1.05248,0.136724,0.529945,1.06111,-0.0374145,0.305954,0.242177,-0.140091,0.343085,0.160367,-0.157741,0.446571,0.077004,-0.0976475,0.340667,0.228432,0.0253495,0.325501,0.0719906,0.139454,0.414165,0.0570608,0.146752,0.548038,0.0585434,0.0968757,0.373235,0.093641
34.24,0.0421209,0.316006,1.01156,-0.0172918,0.322036,1.10375,0.0743817,0.32066,1.11145,-0.0955843,0.512272,1.05277,0.137431,0.529092,1.06048,-0.0354184,0.321761,0.230323,-0.140142,0.363736,0.151824,-0.159073,0.47178,0.0748457,-0.0969101,0.357776,0.218984,0.0252636,0.31291,0.0726928,0.139464,0.402126,0.0571487,0.146859,0.535996,0.0583316,0.0963189,0.361708,0.093673
34.25,0.0426876,0.314961,1.01132,-0.0165153,0.32093,1.10357,0.0750707,0.319879,1.11114,-0.0948135,0.51103,1.0527,0.138239,0.528253,1.05961,-0.0341857,0.338601,0.21728,-0.140198,0.385026,0.142931,-0.16095,0.497801,0.0732741,-0.0959964,0.375358,0.208692,0.0251339,0.300966,0.0730409,0.139406,0.389985,0.0571083,0.14698,0.52398,0.0580885,0.096035,0.34988,0.0941063
34.26,0.043106,0.31402,1.01091,-0.0159485,0.31991,1.10316,0.0757332,0.319024,1.11067,-0.0940468,0.510033,1.05221,0.138921,0.527388,1.05843,-0.0332382,0.357074,0.202736,-0.140489,0.407145,0.133825,-0.163143,0.524404,0.0723277,-0.0953225,0.393608,0.197985,0.0248426,0.288813,0.0734415,0.139481,0.377946,0.0573227,0.147096,0.511998,0.057833,0.0959264,0.337714,0.094847
34.27,0.0434417,0.312784,1.01028,-0.0155367,0.318804,1.10245,0.0761861,0.318146,1.10986,-0.0935368,0.508829,1.05117,0.139601,0.526557,1.05701,-0.032161,0.375851,0.188107,-0.140938,0.430066,0.124462,-0.164904,0.550912,0.0712818,-0.0947461,0.412464,0.186689,0.0243976,0.277326,0.0736624,0.139419,0.365921,0.0574039,0.147299,0.50001,0.0576443,0.0952855,0.32639,0.0949285
34.28,0.0436371,0.311925,1.00943,-0.0152256,0.317836,1.10167,0.0764489,0.317298,1.109,-0.0927708,0.507956,1.05015,0.140071,0.52576,1.05536,-0.0309955,0.396197,0.173164,-0.141619,0.453347,0.114952,-0.166972,0.577834,0.0708628,-0.0944503,0.432091,0.175179,0.0241468,0.26595,0.0737882,0.139404,0.353856,0.0575214,0.147453,0.48801,0.0573671,0.0947941,0.314809,0.0953222
34.29,0.0437555,0.310857,1.00855,-0.0150236,0.317071,1.10067,0.0766313,0.31644,1.10793,-0.0923727,0.506694,1.04856,0.140542,0.525009,1.0536,-0.0307839,0.417162,0.158277,-0.142222,0.477664,0.10546,-0.169095,0.604576,0.0705751,-0.0942738,0.452593,0.16345,0.0237709,0.254296,0.0742251,0.139238,0.341856,0.0576758,0.147668,0.476187,0.0571197,0.0943665,0.303288,0.09581
