timeList,torsoBackBottomX,torsoBackBottomY,torsoBackBottomZ,torsoBackLeftX,torsoBackLeftY,torsoBackLeftZ,torsoBackRightX,torsoBackRightY,torsoBackRightZ,torsoFrontLeftX,torsoFrontLeftY,torsoFrontLeftZ,torsoFrontRightX,torsoFrontRightY,torsoFrontRightZ,lFootHeelX,lFootHeelY,lFootHeelZ,lFootMidX,lFootMidY,lFootMidZ,lFootToeX,lFootToeY,lFootToeZ,lFootAnkleX,lFootAnkleY,lFootAnkleZ,rFootHeelX,rFootHeelY,rFootHeelZ,rFootMidX,rFootMidY,rFootMidZ,rFootToeX,rFootToeY,rFootToeZ,rFootAnkleX,rFootAnkleY,rFootAnkleZ
20.49,-0.00355938,0.246161,1.03349,-0.042882,0.260765,1.0978,0.0257449,0.255444,1.09944,-0.0883646,0.502079,1.07014,0.104901,0.470889,1.07832,-0.0452738,0.238488,0.0810089,-0.124357,0.387478,0.0663328,-0.0977552,0.499126,0.0643577,-0.101753,0.295452,0.109684,0.0506809,0.211383,0.237359,0.15218,0.293341,0.120991,0.122792,0.394792,0.0672598,0.105214,0.253159,0.229267
20.5,-0.00366331,0.245274,1.03386,-0.0430757,0.260067,1.09814,0.0254288,0.254723,1.09981,-0.0888564,0.501454,1.06999,0.104342,0.469927,1.07864,-0.0450543,0.226396,0.0812618,-0.124202,0.375612,0.0664214,-0.0976548,0.487195,0.0641671,-0.101617,0.283526,0.110173,0.0501637,0.229469,0.222741,0.152355,0.318418,0.112655,0.123356,0.423414,0.0651674,0.104408,0.271492,0.218048
20.51,-0.00373305,0.244472,1.03407,-0.0431978,0.259382,1.09829,0.0252621,0.253848,1.10001,-0.0892415,0.50065,1.06949,0.103968,0.469134,1.07866,-0.0448573,0.214502,0.0814847,-0.124091,0.363332,0.066431,-0.0977251,0.475431,0.0639633,-0.101212,0.272066,0.110612,0.0496466,0.248581,0.207233,0.152726,0.344336,0.104205,0.124198,0.452513,0.0635871,0.104123,0.290618,0.206398
20.52,-0.00372506,0.243694,1.03409,-0.0432428,0.258622,1.09831,0.0252299,0.253003,1.10003,-0.0894198,0.49993,1.06885,0.103501,0.4682,1.07843,-0.0447112,0.202604,0.0817039,-0.123947,0.35136,0.0665004,-0.0975238,0.463367,0.0636603,-0.10108,0.260495,0.111132,0.0495496,0.268785,0.191596,0.153478,0.371061,0.0959528,0.125589,0.482054,0.0624955,0.104074,0.310789,0.194393
20.53,-0.00358724,0.242821,1.03397,-0.0432436,0.258069,1.0981,0.0252242,0.252346,1.0999,-0.0897263,0.499349,1.06796,0.103275,0.467445,1.07799,-0.0447091,0.190747,0.0819766,-0.123801,0.33969,0.0665482,-0.0975187,0.451391,0.0633645,-0.100541,0.248766,0.111682,0.0495313,0.29003,0.175939,0.154562,0.398517,0.0882193,0.127299,0.511821,0.0619508,0.104085,0.332134,0.182223
20.54,-0.0034478,0.242074,1.03368,-0.0430686,0.257433,1.09767,0.0253521,0.251532,1.09956,-0.0898183,0.498699,1.06695,0.103109,0.466659,1.07725,-0.0445241,0.178706,0.082314,-0.123684,0.327616,0.0665917,-0.0974253,0.439452,0.0630631,-0.100025,0.237068,0.1121,0.0498976,0.312794,0.160298,0.156042,0.426601,0.0812103,0.129052,0.541569,0.0618605,0.1045,0.35413,0.170225
20.55,-0.00321144,0.241413,1.03326,-0.0429228,0.257041,1.09713,0.0255513,0.251065,1.09895,-0.0898213,0.49818,1.06578,0.103159,0.46609,1.07636,-0.0443783,0.166792,0.0825335,-0.123577,0.315656,0.0666827,-0.0973475,0.427682,0.0628655,-0.0997396,0.225459,0.112734,0.0505534,0.33644,0.145162,0.157907,0.455138,0.0750346,0.131284,0.571359,0.0627823,0.105325,0.376868,0.158494
20.56,-0.00287298,0.240818,1.03266,-0.0426813,0.256583,1.0964,0.0258272,0.250735,1.09828,-0.0896979,0.497713,1.0644,0.103293,0.465583,1.07519,-0.0442559,0.154942,0.0827862,-0.123374,0.303496,0.0666774,-0.0972095,0.415363,0.0625296,-0.0993599,0.213521,0.113454,0.0515878,0.361104,0.130612,0.159774,0.484049,0.0695931,0.13376,0.60126,0.0646664,0.106215,0.4005,0.147177
20.57,-0.00260991,0.24046,1.03198,-0.042415,0.256313,1.09557,0.0262038,0.250333,1.09741,-0.0894304,0.497195,1.06286,0.103564,0.465135,1.0738,-0.0442059,0.143147,0.0830563,-0.123298,0.291669,0.0667688,-0.0972086,0.403406,0.0624131,-0.0990016,0.201938,0.114092,0.0528997,0.386743,0.11702,0.162043,0.513193,0.0654643,0.136598,0.63077,0.0676869,0.107688,0.424794,0.136804
20.58,-0.00212585,0.240029,1.03117,-0.041947,0.256023,1.09455,0.0265017,0.250468,1.09633,-0.0891639,0.496881,1.06116,0.103967,0.464907,1.07222,-0.043944,0.131149,0.0834376,-0.1232,0.279452,0.0668516,-0.0972028,0.391409,0.0621884,-0.098894,0.190591,0.114903,0.054549,0.413103,0.104501,0.16453,0.542604,0.0627791,0.139634,0.660124,0.0722154,0.109339,0.449646,0.127463
