generation	best_fitness	median_fitness	predicted_fitness	fitness_progress
0	68.8951	94.6966	0	0
1	58.9086	93.2901	-4934.33	0.169525
2	11.7627	80.4226	-14271.3	1.09677
3	6.21685	57.8965	-11807.5	0.917387
4	8.42928	72.3122	-8527.35	0.649629
5	1.02139	15.8796	-3702.92	0.467753
6	0.962181	7.87114	-2749.64	0.491588
7	0.986284	10.0007	-1792.69	0.432621
8	1.05958	76.7384	-1548.47	0.448687
9	1.09282	71.2902	-1060.74	0.360927
10	1.01419	67.235	-664.471	0.231341
11	1.00794	7.02112	-38.3451	0.0576106
12	0.882514	6.72998	-41.0847	0.0624441
13	0.852485	1.0326	-34.219	0.0559451
14	0.797442	6.01521	-31.7594	0.0537741
15	0.764313	0.945792	-28.0383	0.0502037
16	0.749817	0.960182	-26.5979	0.0487935
17	0.745061	0.812372	-26.2915	0.0494383
18	0.765313	9.88535	-23.8171	0.0458259
19	0.735092	0.953475	-20.9139	0.041836
20	0.717488	47.4555	-19.862	0.0405083
21	0.731383	9.31519	-19.0995	0.0396102
22	0.724907	7.10256	-17.5234	0.0366381
23	0.714457	6.36032	-15.0477	0.0328327
24	0.749705	48.7576	-14.1317	0.0313948
25	0.7064	0.80663	-12.2929	0.0276717
26	0.697752	6.90271	-11.5022	0.0261827
27	0.684929	7.0136	-10.3543	0.0242208
28	0.692255	0.876409	-9.26885	0.0224012
29	0.69963	8.40137	-8.86071	0.0215127
30	0.688008	0.73904	-8.31594	0.0203921
31	0.676937	13.5627	-7.85958	0.0196262
32	0.660401	6.83559	-6.73165	0.017364
33	0.656044	50.554	-5.30305	0.014288
34	0.643645	6.34756	-4.76994	0.013167
35	0.648564	6.0496	-4.68147	0.0130525
36	0.634446	0.675649	-4.56823	0.0128742
37	0.644708	80.4222	-4.41207	0.0126022
38	0.632194	10.4763	-4.14432	0.0120458
39	0.660945	14.1997	-3.71582	0.0111526
40	0.654718	8.44787	-3.51258	0.0107284
41	0.640656	9.25029	-3.3582	0.0104067
42	0.626765	90.4253	-3.17974	0.00999824
43	0.628339	89.7188	-3.05955	0.00974933
44	0.622955	10.9293	-2.95222	0.00950887
45	0.636501	51.2764	-2.8074	0.00918222
46	0.621691	40.2811	-2.6764	0.00887782
47	0.645464	75.0572	-2.55051	0.00852676
48	0.628046	10.922	-2.54185	0.0085042
49	0.640404	0.679869	-2.51657	0.00843251
50	0.652647	87.6452	-2.4242	0.00820603
51	0.624988	38.7829	-2.37232	0.00810314
52	0.622169	9.90622	-2.31674	0.00798739
53	0.62069	80.361	-2.21667	0.00773927
54	0.642619	9.66684	-2.16126	0.0075767
55	0.65608	70.7631	-2.15951	0.0075875
56	0.644584	0.701638	-2.10627	0.0074705
57	0.621873	7.69141	-1.9922	0.00719622
58	0.654109	37.5557	-1.94739	0.00709154
59	0.61209	9.11519	-1.9093	0.00698582
60	0.648431	9.04944	-1.87528	0.00689636
61	0.651104	86.2101	-1.85144	0.0068271
62	0.653238	52.6357	-1.82812	0.00675991
63	0.623544	0.682604	-1.80686	0.00669063
64	0.635271	9.40074	-1.78635	0.00661666
65	0.646535	0.693399	-1.74188	0.00650383
66	0.624674	0.682743	-1.70515	0.006414
67	0.630081	75.5585	-1.64974	0.00628395
68	0.621596	0.676877	-1.56657	0.00607807
69	0.602465	0.754803	-1.41278	0.00568358
70	0.616746	12.5673	-1.33533	0.00548322
71	0.605759	0.708552	-1.26188	0.0052777
72	0.622019	0.674559	-1.14462	0.0049624
73	0.613189	0.689991	-0.985794	0.00453574
74	0.618573	0.676943	-0.97226	0.00448499
75	0.615	0.670489	-0.934401	0.00438406
76	0.611228	0.659202	-0.79146	0.00400594
77	0.622506	0.67242	-0.730636	0.00383571
78	0.618324	0.66094	-0.661199	0.00364915
79	0.596602	0.660905	-0.60978	0.00350639
80	0.611367	0.660091	-0.554259	0.0033545
81	0.615281	0.645789	-0.493705	0.0031963
82	0.591362	0.623818	-0.418024	0.00299559
83	0.603557	76.8713	-0.366224	0.00285148
84	0.609465	0.654461	-0.340375	0.00277887
85	0.608532	0.650971	-0.308165	0.00268931
86	0.602263	0.719712	-0.30744	0.00268597
87	0.614706	28.2143	-0.300395	0.00266522
88	0.616665	61.5261	-0.292089	0.00264117
89	0.616133	0.6824	-0.277441	0.00260056
90	0.616465	0.696312	-0.260286	0.00255306
91	0.622737	0.66139	-0.23763	0.00249045
92	0.611915	0.706299	-0.223788	0.00245067
93	0.626232	0.668138	-0.203437	0.00239263
94	0.616739	9.8178	-0.192505	0.00236153
95	0.613467	0.653312	-0.180291	0.00232556
96	0.601147	0.665392	-0.159281	0.00226554
97	0.642564	72.4915	-0.153877	0.0022493
98	0.613684	0.672347	-0.143822	0.00222008
99	0.598789	0.639871	-0.123953	0.00216385
100	0.603472	0.698458	-0.110878	0.0021259
101	0.609492	0.647469	-0.0836536	0.00204911
102	0.612304	0.742556	-0.0707014	0.00201127
103	0.619262	0.675494	-0.043162	0.00193396
104	0.606643	0.635995	-0.0185071	0.00186442
105	0.614499	10.1149	-0.00327158	0.00182065
106	0.60407	15.5256	0.0196298	0.00175567
107	0.594681	0.654768	0.0290467	0.00172807
108	0.602895	0.648013	0.0408474	0.00169374
109	0.602653	0.637448	0.0522062	0.00166054
110	0.593365	0.630993	0.0666257	0.00161879
111	0.593203	11.1968	0.076084	0.00159071
112	0.599502	87.6701	0.0876399	0.00155679
113	0.599271	0.645152	0.0921917	0.00154243
114	0.609938	0.66136	0.0988826	0.00152218
115	0.620442	0.646925	0.11675	0.00147053
116	0.612071	0.637213	0.122049	0.00145416
117	0.607364	0.62847	0.127536	0.00143762
118	0.603922	0.620428	0.131811	0.0014243
119	0.599812	35.5082	0.136957	0.00140875
120	0.601783	7.93805	0.147558	0.00137784
121	0.597965	0.636977	0.163282	0.00133217
122	0.599422	0.629173	0.172934	0.00130338
123	0.608363	61.3461	0.17642	0.0012921
124	0.610465	5.89078	0.186723	0.00126138
