generation	best_fitness	median_fitness	predicted_fitness	fitness_progress
0	97.4672	100.247	0	0
1	97.9885	100.147	358.662	-0.00532049
2	9.43719	98.9961	-21998.1	1.39976
3	1.08898	99.2429	-19043.1	1.25883
4	12.1692	97.8445	-13098.1	0.817838
5	6.61209	89.7397	-4168.89	0.380972
6	9.55062	89.7004	-1711.28	0.247244
7	1.05947	16.0511	-1618.13	0.282358
8	1.09301	21.2101	-1383.43	0.256758
9	1.07376	28.4433	-1152.47	0.25789
10	0.980231	96.7333	-808.139	0.240108
11	1.01232	89.7456	-694.874	0.235843
12	0.942692	11.7317	-424.834	0.15949
13	1.01393	96.4466	-45.8327	0.0626565
14	0.942223	94.2827	-33.3622	0.0494236
15	0.812938	10.8515	-35.0118	0.0533663
16	0.919646	7.51146	-23.6594	0.0404428
17	0.971746	75.0282	-19.371	0.0348423
18	0.944542	10.1961	-15.2657	0.0286103
19	0.923203	7.03635	-12.6017	0.0247238
20	0.738689	1.01951	-13.5196	0.0265957
21	0.717097	0.886192	-14.2449	0.0285391
22	0.739859	10.7483	-13.3645	0.0272272
23	0.728264	11.4564	-12.7268	0.0264595
24	0.755955	93.9982	-12.2137	0.0258451
25	0.711878	0.939583	-12.2187	0.0260183
26	0.749815	14.7285	-11.9631	0.0257024
27	0.741161	13.0884	-11.5935	0.0251279
28	0.712895	1.02852	-11.2694	0.0247609
29	0.754544	51.9369	-11.0548	0.024445
30	0.748981	1.0039	-10.4701	0.0234887
31	0.722055	0.839272	-9.84522	0.0222975
32	0.772787	9.28965	-9.43372	0.0213872
33	0.715646	9.28085	-9.08607	0.0209667
34	0.707897	7.13298	-8.69081	0.0202994
35	0.705228	0.79091	-7.82738	0.0183444
36	0.675373	29.8711	-7.67415	0.0180746
37	0.666829	5.70015	-7.48667	0.0177159
38	0.712534	11.636	-7.23676	0.0172863
39	0.687491	0.856397	-6.98189	0.0168117
40	0.686674	78.2532	-6.41765	0.0157817
